societe;email;telephone;
42TEA;lionel@42tea.io;0629242786
DLM SOFT;dlmsoft@dlmsoft.fr;03 85 46 01 50
DMD Santé;contact@dmd-sante.com;
DMR SERVICES;;04 74 29 23 70
DMS DIGITFEEL;contact@groupe-dms.com;0562887272
DOCAPOST SAS;;01 56 29 70 01
DocDocDoc;;
DOCDOKU;info@docdoku.com;05 61 72 24 09
Docteur Alphonse;hello@docteuralphonse.fr;
DOKEVER;contact@dokever.com;0437496272
DOLIST.NET;info@dolist.net;05 57 26 25 70
DOMUS PREVENTION;contact@domus-prevention.fr;
DORIANE;prenom.nom@doriane.com;04 92 47 84 44
DOSHAS CONSULTING;contact@doshas-consulting.com;0184200783
DOUBLETRADE;;
DPO Consulting;contact@dpo-consulting.com;
DreamQuark;contact@dreamquark.com;
DRIVEMEIN;contact@drivemein.fr;
drivy;;
DRONE INDOOR;c.menard@droneindoor.com;0629862379
DroneHive;contact@dronehive.fr;
DRONOP-TIC;dronoptic@gmail.com;06 92 72 07 42
DSI;dsi.ap@dsi-ap.com;05 62 74 10 00
DSI CARAÏBES;yann.leveque@dsi-caraibes.com;01 45 37 95 81
DSIA;;02 51 81 85 85
DVSANTE;coordination@dvsante.fr;
DXC TECHNOLOGY;;01 55 70 70 70
DXO LABS;info@dxo.com;01 55 20 55 99
DYNASYS;contact@dys.com;03 88 19 14 14
DYNATRACE;;01 41 14 20 00
Dynseo;;
e-ajeo Santé; santeautonomie@orange.fr;
E-BISCUS;contact@e-biscus.eu;0787104317
E-DEAL;;01 73 03 29 80
E-GEE;d.lemee@egee.fr;04 56 52 33 00
E-Mana;commercial@e-mana.co;
E-NETWORK INTELLIGENCE;contact@e-ni.net;04 42 41 68 77
e-progest;contact@e-progest.fr;
E-QUAL;social@e-qual.fr;05 16 44 24 00
E-SOLUTIONS SAS;infos@e-solutions.tm.fr;09 50 24 88 70
e-ssencials digital health;hello@e-ssencials.com;
EALICO;contact@ealico.fr;0689768049
EASY GLOBAL MARKET;expertise@eglobalmark.com;
easyWelcome;hello@easywelco.me;09 70 46 75 08
EAUCTION;eauctionlive@gmail.com;
EBA CONSULTING;sas.ebaconsulting@numericable.fr;
EBP INFORMATIQUE;;01 34 94 80 00
ECOMUNDO;contact@ecomundo.eu;01 83 64 20 56
ECONOCOM;;01 41 67 30 00
ECY Conseil;;
EDIGITAL.FR;contact@edigital.fr;0608703928
EDISSYUM CONSULTING;contact@edissyum.com;04 90 40 91 86
EDIT YOURSELF;;04 93 19 00 20
EDOKIAL;contact@edokial.com;04 77 48 44 44
EDSI;direction@edsi-smartcards.com;02 57 87 29 60
EEGLE;contact@eegle.io;
EFFECTIVE YELLOW;contact@effectiveyellow.com;
EFFISOFT;contactfr@effisoft.com;01 42 93 33 33
EFISENS;contact@efisens.fr;01 44 37 07 07
EKYLIBRE;contact@ekylibre.com;0950772110
ELANZ;contact@groupe-elanz.com;01 41 19 74 74
ELCIA;contact@elcia.com;04 72 18 51 41
ELCIMAI;elcimai@elcimai.com;01 64 10 47 20
ELECTION-EUROPE;info@election-europe.com;01 46 94 66 07
ELECTRONICS FOR IMAGING FRANCE S.A.R.L;gt@rhapso.fr;01 60 13 79 50
ELÉE;;0177694985
Elia-Consulting;contact@elia-consulting.com;01 53 32 76 20
ELIADIS;contact@eliadis.com;01 41 29 03 29
ELISATH;elisath@elisath.fr;03 83 97 76 98
ELLIPSO FACTO;contact@ellipsofacto.com;
ELSAN;contact@elsan.care;
ELSYLOG;accueil@elsylog.com;02 32 14 02 00
EMAKINA;;05 55 35 04 36
EMASH;contact@emash.fr;03 80 51 77 35
EMATISS;info@ematiss.com;07 82 61 06 19
ENGAGEO;drh@engageo.fr;01 70 16 13 47
ENGIE INFORMATION TECHNOLOGIES;;
ENGIT;contact@engit.fr;0489866971
ENIGMATIC;contact@enigmatic.fr;04 76 29 89 55
ENOVEA;info@enovea.net;02 32 18 22 00
ENTARES;;05 61 34 96 39
ENVIVIA;contact@envivia.fr;0596380771
EOLE CONSULTING;;
ERELIA;info@erelia.fr;04 42 50 83 83
Ergozel;administratif@ergozel.fr;09 55 52 74 74
ERI BANCAIRE;eri@eri.ch;01 55 37 85 85
ERICA;erica@erica.fr;04 93 14 03 03
ERIDANIS FRANCE;prenom.nom@eridanis.com;
ERT;contact@ertgroupe.fr;01 69 35 12 12
ESABORA;contact@esabora.com;01 45 65 14 16
ESANTÉ SOLUTIONS;jerome.duvernois@esantesolutions.fr;0676938168
ESDI EUROPEAN INFORMATIQUE;contact@esdi.fr;08 20 82 08 04
ESI GROUP PARIS;info@esi-group.com;01 53 65 14 14
ESI4U;contact@esi4u.fr;03 28 61 20 31
Esioox.com;contact@esioox.fr;09 70 80 55 01
ESKER;info@esker.fr;04 72 83 46 46
estasendo;;
ESTEREL TECHNOLOGIES;sales@esterel-technologies.com;01 30 68 61 60
Ethan McGregor;recrutement@ethanmg.fr;
ETHERTRUST;yvon.leroy@ethertrust.com;03 22 53 26 26
ETHIC TECHNOLOGY;contact@ethic-technology.com;
ETIC SERVICES;services@etic.yt;02 69 61 53 53
ETUDES INFORMATIQUES ET SERVICES;info@eis-informatique.com;0299721515
EUDONET;infos@eudoweb.com;01 47 37 60 30
EUKLID;contact@euklid.fr;
EURECIA;contact@eurecia.com;05 62 20 03 69
EUREKA SOLUTIONS;;03 89 51 20 20
EURELIS;contact@eurelis.com;01 49 97 20 20
EURISIS;ssii@eurisis.fr;03 28 33 33 28
Euro NetSecure & Defense Consulting;contact@ensd.fr;01 70 38 53 36
EUROEDI;commercial@euroedi.com;05 56 65 75 60
EURONEXT TECHNOLOGIES SAS;;01 73 03 14 14
EUROSTEP;france@eurostep.com;0130131440
EuroXA;france-info@exa.com;
evalandgo;contact@evalandgo.com;04 67 13 01 24
EVALDEV;contact@evaldev.io;0661029925
EVERIAL;infos@knowings.com;04 79 65 04 25
EVERLOG;contact@everlog.com;05 56 16 10 46
EVERMAPS;;01 41 38 38 38
EVERTEAM SOFTWARE;info@everteam.com;04 26 68 33 00
EVERTEST;jerome.bouchard@evertest.com;01 39 72 10 10
Evertygo;contact@evertygo.com;
EVERWIN;info@everwin.fr;01 69 78 14 14
EVIDENCE INFO;contact@evidence-info.fr;0278940364
EVIDENCY;;
EVODE;bmestre@evode.fr;04 22 14 00 20
EVOLIX;info@evolix.fr;04 91 05 92 54
EVS TOULOUSE SAS;info.opencube@evs.com;05 61 28 56 06
Exabel;contact@exabel.fr;01 41 05 48 10
EXAEGIS;laurent.briziou@exaegis.com;02 47 87 10 10
EXAKIS;communication@exakis.com;05 59 43 53 33
Exalinks;contact@exalinks.com;
EXPEMB;contact@expemb.com;01 77 04 80 35
EXPERTISE FRANCE;;0170827082
EXTERN IT;contact@extern-it.fr;0616189393
EXTRAPOLATIONS;pierre@extrapolations.fr;0650237080
eZ Systems;info.fr@ez.no;
EZAKO;commerce@ezako.com;
ezyData;contacts@ezydata.fr;
F-SECURE SDC SAS;france-support@f-secure.com;08 20 00 07 59
FACEBOOK FRANCE;;
FACNOTE;contact@facnote.com;0484490527
FACTORY GROUP;contact@factorygroup.fr;
factoryThings;admin@factorythings.com;
FANVOICE;contact@fanvoice.com;09 72 48 72 22
FEALINX;contact@cadesisgroup.com;
FELIX INFORMATIQUE;contact@felix.fr;03 83 96 23 23
FENYX CONSULT;contact@fenyx.fr;0428270320
FG CONSULTING;frederic.gaye@lereferencementnaturel.org;0146376957
FGS CONSEILS;contact@fgs.fr;
FIME;;01 41 98 48 20
FINELOG;daf@finelog.fr;01 41 10 00 40
FITELEC PRODUCTION;info@fitelec.fr;02 35 80 48 04
fleetimpact;contact@fleetimpact.com;
FlexThings;hdrion@flexthings.net;
FLIT;hello@norbertapp.com;0623530127
Flylab;antoine.pic@gmail.com;
FOCUS INOVA;contact@focus-inova.com;01 77 62 45 25
FOODCONNEXION;presse@foodconnexion.com;
Foosball Society;info@tecbak.com;
ForePaaS;contact@forepaas.com;
FORMAT;format@format.fr;02 62 42 67 89
FORMI-SA;contact@formi.fr;05 61 71 79 71
FORTIA Financial Solutions;contact@fortia.fr;01 80 96 41 66
FRANCE LABS;contact@francelabs.com;04 92 91 14 27
FS2I;message@fs2i.fr;01 39 07 28 28
FULLSAVE;contact@fullsave.com;05 62 24 34 18
FUTURMASTER;commerce@futurmaster.com;01 46 08 05 45
FUTURNESS;contact@futurness.com;0 805 033 032
G-ECHO;contact@g-echo.fr;06 03 62 14 40
G2C INFORMATIQUE;direction@altereo.fr;04 42 54 00 68
GAMEBUINO;rodot@gamebuino.com;0622353071
GATEWATCHER;contact@gatewatcher.com;0144519261
GAVDI FRANCE;info@gavdi.com;
GCS E SANTE DES PAYS DE LA LOIRE;magali.gauquelin@esante-paysdelaloire.fr;02 44 76 13 90
GCS E-SANTE BOURGOGNE;contact@esante-bourgogne.fr;03 85 48 21 75
GE DIGITAL SERVICES EUROPE;edouard.ghedighian@ge.com;
GEMTIC;contact@gemtic.yt;06 39 09 82 05
GENERIX;contact@generixgroup.com;03 20 41 48 00
GENESIS GROUPE;contact.lyon@genesis-groupe.com;04 72 86 05 05
GENFOTECH FRANCE;contact@genfotech.fr;
GENWIN.TECH;contact@genwin.tech;03 88 97 39 73
GENYMOBILE;contact@genymobile.com;01 83 64 25 40
GÉONOMIE;contact@geonomie.fr;06 31 49 45 39
GERCOP DIGITAL;contact@gercop-digital.com;0148202000
GFI INFORMATIQUE;;01 44 04 50 00
GIE FASTOR;contact@fastor.com;
GINERATIV;relationsclients@ginerativ.fr;01 57 57 58 21
GIP-MDS;;01 58 10 47 00
GiraffEquity;contact@giraffequity.com;
GISMARTWARE;acceuil@gismartware.com;
GLIM;contact@glim.fr;04 20 88 00 53
GLOBAL SP;;08 20 56 11 11
GLOBALIS MEDIA SYSTEMS;infos@globalis-ms.com;01 82 83 51 70
GLOBALLIANCE;info@globalliance-solutions.com;04 72 43 01 16
GM CONSULTANTS;gmc@gm-consultants.com;01 76 70 03 90
GMT EDITIONS;contact@gmt-editions.fr;09 50 30 09 02
Goalban.fr;alban.guillien@gmail.com;
GOLDEN BEES;contact@goldenbees.fr;01 70 71 89 41
GOODWEASE;sc@goodwease.com;+33684724552
GOOGLE FRANCE;;04 12 68 53 00
GOPENED;help@gopened.com;
Gowento;contact@gowento.com;
GPI;aa@g-p-i.fr;04 37 22 11 88
GRAND EQUIPEMENT NATIONAL DE CALCUL INTENSIF (GENCI);campeas@genci.fr;
GRASP-SAS;office@grasp-sas.com;0786805180
GREENFLEX;contact@greenflex-group.com;01 40 22 14 60
GRIDPOCKET;contact@gridpocket.com;04 89 86 69 20
GROUPE 3E;;01 45 63 07 00
GROUPE ARTIC SOLUTIONS;bdl@bdlinfo.com;02 41 58 52 18
Groupe Articque Solutions;info@articque.com;02 47 49 73 74
Groupe ATF;contact@atf.fr;
GROUPE CARTÉGIE;;01 44 51 66 99
GROUPE CONVERGENCE.COM;contact@groupe-convergence.com;05.49.66.60.00
GROUPE ELABOR;marketing@groupe-elabor.com;03 80 50 81 81
GROUPE EQUITY;;01 75 60 12 27
GROUPE FBO;contact@groupefbo.com;02 51 34 24 66
GROUPE HLI;;01 46 93 30 40
GROUPE ONE POINT;syntec@groupeonepoint.com;01 46 94 95 96
GROUPE SAB;direction@sab2i.com;01 43 94 94 01
GROUPE SCR;;01 73 79 07 00
GROUPE SEPHIRA;;02 43 78 95 98
GROUPE SEWAN;contact@sewan.fr;0176210000
GROUPE STEDIA;;04 42 65 43 88
GROUPE SYNOX;contact@synox-group.com;08 20 42 03 37
GROUPE T2I;info@groupe-t2i.com;04 72 52 30 00
Growing Tree Consulting;;
GS1 FRANCE;infos@gs1fr.org;01 40 22 17 00
GUADELOUPETECH;;
GuestViews;contact@guestviews.co;
GUMI EUROPE;;
H WEB PRODUCTIONS;thomas@hkwebs.fr;0648893873
H-ADVICE;;
H2I;contact@h2i.fr;04 72 68 25 00
H4D;contact@h-4-d.com;01 70 81 49 49
H@ANA CONSULTING;info@hanacg.com;
HAKISA;contact@hakisa.com;03 88 24 55 14
HandsUp;admin@handsup.com;
HAPROXY TECHNOLOGIES;contact@haproxy.com;01 30 67 60 74
Hapticmedia;contact@hapticmedia.fr;09 52 92 89 70
HARMONIC EUROPE;danielle.benoist@harmonicinc.com;
HARMONIE TECHNOLOGIE;solveig.amiaud@harmonie-technologie.com;01 73 54 30 00
HARVEST;contact@harvest.fr;01 55 82 07 00
HD Technology;contact@hdtechnology.fr;04 72 14 68 90
Healthways France;;01 72 92 06 66
HEDGELOG;info@hedgelog.fr;0651504246
HELIS;contact@helis.fr;01 53 20 05 12
HELIX Développement;contact@helix-dev.fr;03 80 78 21 20
HENIX;contact@henix.com;01 42 31 02 00
Henoïda;info@henoida.com;
HETISS;contact@hetiss.com;
HEURITECH;info@heuritech.com;+33 1 44 49 06 26
HEVA;contact@hevaweb.com;04 72 74 25 60
HEWLETT PACKARD ENTERPRISE;;08 20 21 12 11
HEXAGO-ON;alex@hexago-on.com;0623290069
Hi-From;esorasio@hi-from.com;
HIGHROAD;sylviane.collina@boxperso.com;0262559849
Hippocad;contact@hippocad.com;01 75 10 60 87
HITECH SAS;info@hitech.fr;05 62 16 26 26
HIVENCY;hello@hivency.com;0640306132
HONESTICA;nadia@honestica.com;
HOP ONLINE;bonjour@hopcrm.com;05 62 16 91 41
Hopways;contact@hopways.com;
HORIZON CONNECT;info@hsoftware.com;01 42 60 94 90
Horus Ocean Indien;contact@horus-oi.com;
HOSMEDIS;contact@hosmedis.com;0660493240
HOTLINE;;01 53 46 61 91
HR CONSEIL;contact@hrconseil.com;01 45 72 50 18
HR-ITCONSULTING;fconstanty@hr-itconsulting.com;04 73 40 51 37
HTS Expert Consulting;contact@hts-expert.com;01 75 43 51 01
HUAWEI TECHNOLOGIES;receptfr@huawei.com;01 46 20 60 60
HUB ONE;;01 70 03 85 00
HUBWORKAIR;contact@hubworkair.com;0627960246
HUMANCRAFT;mfloucaud@humancraft.eu;0609588885
HUSSON;;05 53 03 37 87
Hxperience;contact@hxperience.com;
HYBIRD;contact@hybird.org;04 91 11 87 78
HYPERPANEL LAB;hyperpanellab@magic.fr;01 69 85 30 07
Hypervision Technology;contact@hypervision-technology.com;
HYPRA;contact@hypra.fr;
I By Intelligence;contact@ibyintelligence.fr;
I-ADMINISTRATION;bf@ipeos.fr;0690497309
I-COM;infos@i-com.fr;03 80 60 52 99
IADVIZE;contact@iadvize.com;02 53 45 00 33
IBM FRANCE;demerle@fr.ibm.com;01 58 75 00 00
IBROWSE;office@ibrowse.com;0170618313
IBSI;ibsi@ibsi.fr;01 41 19 66 17
ICARE INFORMATIQUE;info@icare-informatique.com;03 88 56 95 95
icsis est;contact-est@icsis.fr;03 88 18 45 48
IDAXIO;office@idaxio.com;09 52 80 10 03
IDECSI;contact@idecsi.com;
IDFOR SOLUTIONS;contact@idfor-solutions.com;+33784074581
IDIGITAL;compta@idigital.fr;0155950054
ido-data;hello@ido-data.fr;
IDOPIC;eric.valat@idopic.fr;
IDSOFT;idsoft@idsoft.com;05 56 47 83 83
IFS FRANCE;drh@ifsworld.com;03 89 50 72 72
IGEXAO;info@ige-xao.com;05 62 74 36 36
IGM;igm@igmcentre.fr;
IGNITIONONE;;0140417255
IGUANE SOLUTIONS;compta@iguanesolutions.com;08 92 68 44 47
ILABS;efauro@ilabs.fr;0672670252
ILEX;info@ilex.fr;01 46 88 03 40
ILYEUM;info@ilyeum.com;01 83 81 96 00
IMIE Services;contact@imie.fr;
IMPLEX;info@implex.fr;04 72 18 09 90
IMPRIMA (France) SARL;paris.sales@imprima.com;01 58 36 06 60
IMS NETWORKS;courrier@imsnetworks.com;05 63 73 50 13
IN CONCEPT;;
IN SITU CONSEIL INFORMATIQUE;remi@insitu-conseil.com;05 56 47 14 32
IN-FORM;contact@in-form.co;
INCITIUS Software;contact@incitius.com;
INCOTEC;georges.schneider@incotec.fr;03 88 55 18 18
INDEX EDUCATION;info@index-education.fr;04 96 15 21 70
INEAT CONSEIL;contact@ineat-conseil.fr;03 20 00 80 37
iNet System;contact@inet-system.fr;
INEXINE;contact@inexine.com;04 66 35 71 05
INFINIGATE FRANCE SAS;info@infinigate.fr;01 80 73 04 24
INFO.U;assistance-info.u@systeme-u.fr;04 67 16 14 14
INFOCLIP;contact@infoclip.fr;01 43 18 19 20
INFOCOB SOLUTIONS;;02 51 21 64 64
INFOELSA;infoelsa@infoelsa.com;01 42 89 58 28
INFOLINK;info@1folink.com;01 55 62 15 00
INFOLOGIC-SANTE;commercial@infologic-sante.fr;
INFOMIL;mail@infomil.com;05 67 76 20 00
INFOPROJECT;contact@infoproject.fr;03 80 60 07 60
INFOR FRANCE SAS;;01 47 95 90 00
INFORMATION BUILDERS FRANCE SA;ib-france@ibi.com;01 49 00 66 00
iNFORMATIQUE PROFESSIONNELS;contact@ipsas.fr;
INFORQUIN;Contact@inforquin.fr;01 30 16 43 90
INFORSUD GESTION;contact@inforsud.com;05 65 67 91 00
INFOSYS;;01 56 39 12 00
INFOTEM SA;info@infotem.fr;01 55 26 89 79
INFOVISTA;sales@infovista.com;01 64 86 79 00
INGENICO;;01 58 01 80 00
INGENIERIE DIFFUSION MULTIMEDIA;info@idm.fr;01 64 61 31 50
INNO3 SAS;contact@inno3.fr;01 83 64 09 89
iNNOECO;contact@innoeco.Fr;01 69 82 93 08
INNOVATION SANTÉ CONSEIL;contact@actis-innovation.com;06 78 73 96 71
INOP'S;contact@inops.fr;01 75 77 13 77
INOVANS SUD OUEST;institutionnel@inovans.fr;05 34 30 43 70
INOVIA;contact@inovia.fr;01 83 64 48 72
INOVOPS;contact@inovops.com;
INSTANT SYSTEM;contact@instant-system.com;04 89 86 69 66
INSYNIUM;;
INTELLIMIND;emind@intellimind.fr;01 42 33 14 46
INTEMPORA;contact@intempora.com;01 41 90 03 59
Intent Technologies;contact@intent-technologies.eu;
Inter Action Sourcing;;
interact-iv.com SAS;adm-rh@interact-iv.com;08 26 10 23 21
INTERCLOUD;contact@intercloud.com;01 81 80 26 00
INTERFACES NOUVELLES;interfaces-nouvelles-wind@orange.fr;
INTERMEC TECHNOLOGIES;infos.fr@intermec.com;01 41 44 30 50
International SOS;;
INTERSA;contact@intersa.fr;01 40 40 22 22
INTERSEC;contact@intersec.com;01 55 70 33 33
INTEXAN;sales@intexan.com;06 19 20 25 85
INTM SAS;flore.boulben@intm.fr;01 46 17 01 10
INTRINSEC SECURITE;contact-securite@intrinsec.com;01 41 91 77 77
INVENIS;hello@invenis.co;0688532705
INVIDAM;;
INVIVOO SOFTWARE;admin@neomantis.com;01 80 88 70 40
Inwibe;damien.heiss@inwibe.com;
INWIN;monaco@inwin.fr;+377 97 97 61 20
IOT FLOWERS;info@iot.flowers;0680246092
IP TRUST;pb@iptrust.fr;0181921715
IP-LABEL;contact@ip-label.net;01 77 49 53 00
IRIS FRANCE;info@irislink.com;01 56 70 70 70
IRT B-COM;contact@b-com.org;02 56 35 88 00
IRT SYSTEMX;contact@irt-systemx.fr;
IS2T;fred.rivard@is2t.com;02 40 18 04 96
IS4RI;vbrasse@is4ri.com;
isahit;isabelle@isahit.com;
ISATECH;info@isatech.fr;02 97 68 23 00
ISIA;diapason@isia.fr;05 62 45 16 21
ISIWARE;info@isiware.fr;02 40 92 09 72
ISODOM SARL;;02 62 56 21 25
IT&M;administratif@it-m.fr;01 72 92 06 09
IT&M Regions;agence@itm-regions.fr;
IT-TUDE GROUPE QUODAGIS;info@it-tude.fr;01 34 30 08 92
IT4Control;contact@it4control.com;01 30 83 51 44
ITEMS INTERNATIONAL;contact@items.fr;01 43 38 62 62
ITEX CONSULTING;contact@fitex.com;01 55 33 12 20
ITHEIS;contact@itheis.com;04 42 21 57 02
ITIKA;contact@itika.net;04 91 42 53 41
ITISY;contact@itisy.fr;03 88 97 36 10
ITNOVEM;contact@itnovem.com;09 88 81 67 00
ITO 33;info@ito33.com;01 47 07 08 12
ITOP Education;contact@itop.fr;01 76 91 52 00
ITRUST;contact@itrust.fr;09 80 08 36 12
ITS Future SAS;florian.petit@its-future.com;
ITycom France;contact@itycom.com;
iVee;contact@ivee.fr;
IWE;contact@iwecloud.com;
IZYPEO;;04 22 13 01 21
JAEKSOFT;contact@open-search-server.com;06 63 17 09 29
JAGUAR NETWORK;;08 11 65 61 11
JAKE;contact@jake-digital.com;
JALB GROUP;;01 80 04 87 40
JAMESPOT;info@jamespot.com;01 48 58 18 01
JANUA;infos@janua.fr;09 50 26 03 70
JBG CONSULTANTS;lrouttier@jbg.fr;02 99 23 46 84
JE RÊVE D'UNE MAISON;hello@jerevedunemaison.com;01 78 90 26 09
JECHERCHEUNDEV.FR;hello@jechercheundev.fr;03 67 88 01 14
JES LABS;contact@jes.fr;02 40 92 30 28
JESUISENCOURS;ds@jesuisencours.com;0668060010
JeSuisRiskManager;maxime.durand@terrimetrics.com;
JEVEUXJAURAI;ryma@jeveuxjaurai.com;0633749420
JLB INFORMATIQUE;info@jlbinfo.com;01 41 34 04 10
Job In Real Life;contact@jobirl.com;
Jobs-Expertises SAS;contact@seniors-expertises.com;
JPM & ASSOCIES;contact@jpm-next.com;03 80 56 28 11
JPS XPERIENCE;jpsxperience@orange.fr;09 61 52 10 42
JULIE DESK;contact@juliedesk.com;0176380033
JUMIA;prenom.nom@africainternetgroup.com;
JUST SEARCH;comptabilite@justsearch.fr;0175 43 80 78
JUXTA;juxta@juxta.fr;
K2 FRANCE;france-sales@k2.com;01 46 46 11 82
KABIA;;08 11 09 05 08
KADEIX;contact@kadeix.com;
KALIOP;info@kaliop.com;
KALISSEO;joris.thomassin@kalisseo.fr;
KAPIA SOLUTIONS;info@kapiasolutions.com;01 43 91 12 96
KARTABLE;angelique@kartable.fr;
KAWAA;bonjour@kawaa.co;01 84 16 43 02
KEAKR;contact@keakr.com;
KEEEX;contact@keeex.net;
KEENDOO;contact@keendoo.com;
KEENTURTLE;contact@keenturtle.com;06 33 10 21 98
KEONYS;contact@keonys.com;01 81 93 81 93
KEPLER SOLUTIONS;;
KERALIA;contact@keralia.com;
KerMobile Solutions;contact@kermobile.com;01 58 62 52 13
KERN RH SOLUTIONS;contact@kernfrance.fr;
KEYOSQ;;
KEYRUS;contact@keyrus.com;01 41 34 10 00
KEYVEO;contact@keyveo.com;02 35 59 05 91
KEYWORD S.D.;contact@keyword.fr;04 67 07 72 00
KIBOKO;hello@kiboko.fr;0471027223
KIMOCE;commercial@kimoce.com;03 89 43 88 00
KISIO DIGITAL;;01 78 16 43 40
KIWI BACKUP;info@kiwi-backup.com;03 89 33 38 88
Kiwizz;;
KLEE GROUP;;01 46 29 25 25
KNOWESIA;administration@knowesia.com;02 53 35 53 20
KOBOJO;recrutement@kobojo.com;01 76 74 76 10
Koddok;jerome@koddok.com;
KOEDIA;contact@koedia.com;0422135039
KOMERKO;commercial@komerko.fr;01 40 21 26 89
Konverso;contact@konverso.ai;
KOSMOS;contact@kosmos.fr;02 40 20 47 95
KPF ILE DE FRANCE;;01 80 05 98 50
KRIER;info@krier.fr;02 99 63 72 63
KWALYS;contact@nova-media.fr;01 30 71 41 99
KYMEOS;a.guillet@kymeos.com;
KYRIBA SEMEA;info.france@kyriba.com;01 77 92 17 17
L'ATELIER TECH PARIS;contact@latelier-tech.com;
L.V.I;lvi@lvi.eu.com;06 06 78 35 84
LA FAB - FABRICATION ADDITIVE DE BOURGOGNE;contact@la-fab.net;
LA NETSCOUADE;contact@lanetscouade.com;01 44 74 36 66
LA ROUE VERTE;gestion@laroueverte.com;04 82 53 08 90
La Souris;contact@agenceweb-lasouris.fr;
LabOxy;contact@laboxy.fr;
LAMIRAU Ingénierie;denis.c@mirfrance.com;
LANSROD TECHNOLOGIES;contact@lansrod.com;01 42 65 64 06
Larsen & Toubro Infotech Ltd;fred.dupont@lntinfotech.com;01 47 23 92 73
LAURALBA CONSEIL;;04 91 41 99 49LCA - ICSI;contact@lca-icsi.com;01 41 49 07 60
LE REACTEUR;contact@lereacteur.io;01.79.738.728
Le Sphinx;contact@lesphinx.eu;04 50 69 82 98
LEBONCOIN.FR;;
LED'S CHAT;contact@leds-chat.com;06 16 05 16 64
LEDGER;;01 84 01 13 70
LEDGYS;contact@ledgys.io;
LEGAL SUITE SAS;contact@legal-suite.fr;01 41 38 75 75
LEGALBOX;contact@legalbox.com;01 43 20 39 38
LEMON DATA SAS;contact@lemon-data.net;
Lenovo France SAS;;
LES ARGONAUTES;info@les-argonautes.fr;01 55 25 50 70
Les Grappes;contact@lesgrappes.com;
LESICA;;
Level 3 Communications France;nadia.garidi@level3.com;
LEXAN;lexan@lexan.fr;
LEXMARK ENTERPRISE SOFTWARE FRANCE SAS;jerome.nicolet@readsoft.com;01 34 93 28 13
LIGHTON;contact@lighton.io;
LIGNE BLEUE CYBER;lbc@ligne-bleue-cyber.com;01 48 59 14 01
Likwi Group;;
LIMSEO;contact@limseo.eu;09 72 44 17 10
LINAGORA;adeguerry@linagora.com;08 10 25 12 51
LINEDATA;getinfo@linedata.com;01 46 11 70 00
LINKURIOUS;contact@linkurio.us;
Linkweaver;philippe.gerard@linkweaver.biz;
LIPTON INFORMATIQUE SA;contact@lipton-informatique.com;01 44 50 14 00
LIVDEO;ciprian.melian@livdeo.fr;
LMBA;contacts@lmba.fr;04 78 98 94 50
Local View;andrea.jacquemin@localview.fr;
LOGIFORM CONSEIL;;04 37 43 30 34
LOGILINK;logilink@logilink.fr;04 91 99 44 43
LOGIN SA;info.login@login-sa.com;01 41 16 88 00
LOGIQ SYSTÈMES;colibris@logiq-systemes.fr;04 90 09 23 33
LOGITAS;contact@logitas.com;01 45 60 76 78
LOJELIS;contact@lojelis.com;04 73 70 74 14
LoveLiveMusic;bonjour@lovelivemusic.fr;
LUDO-VIC;jack@ludo-vic.com;0609662074
LUDOTIC;contact@ludo-tic.com;04 93 55 67 12
LUNATECH;;
LxA;contact@lxa-conseil.fr;04 83 15 49 61
LYSEDIO;;
M-FILES FRANCE;m-files@m-files.com;0186950515
M2COMM;;
M3C2;maxime@m3c2.fr;0627239617
MACRO4 FRANCE;market.fr@macro4.com;01 79 71 84 50
MADGIC;;
MAGELLIUM;info@magellium.fr;05 62 24 70 00
MAGIC MAKERS;contact@magicmakers.fr;
MAGUID INFORMATIQUE;maguid@maguid.fr;01 55 65 15 40
MAINCARE SOLUTIONS;info@maincare.fr;05 57 89 65 00
MAK-SYSTEM;sales.fr@mak-system.net;01 48 63 27 27
MAKIDOO;contact@makidoo.io;09 62 54 05 67
MAKINA CORPUS;contact@makina-corpus.com;
MALTEM Consulting;;01 77 78 13 00
MANPOWER FRANCE HOLDING;presse@manpower.fr;08 10 00 67 89
MANTANO;contact@mantano.com;01 42 47 05 61
MAP&MATCH;contact@mapandmatch.com;01 84 20 24 34
Mapping Suite;contact@mappingsuite.com;03 20 80 51 51
Margo Conseil;margo@margoconseil.com;01 80 04 10 20
Market iT;contact@market-it.fr;09 84 30 84 14
MARNES CONSULTING;dmanteau@hotmail.fr;
MARTIN INFORMATIQUE;contact@martin-informatique.com;01 30 97 88 08
MASAO;contact@masao.eu;01 45 05 11 75
MATEN;maten@maten.fr;01 49 70 67 40
MATYS CREDIT MANAGEMENT;contact@matys-cm.com;
MBV SI;informatique@mbvsi.fr;01 44 51 60 30
MC2I GROUPE;mc2i@mc2i.fr;01 44 43 01 00
MCARRÉ;contact@mcarre.fr;0426282282
MCNEXT;contact@mcnext.com;01 49 70 81 33
MEDAPPCARE;hello@medappcare.com;
Medi-Productions;info@mediproductions.com;05 55 32 41 70
MEDIALIGHT MULTIMEDIA;info@medialight.com;02 62 41 04 20
MEDIALIS;contact@medialis.info;01 44 52 91 75
MEDIAN TECHNOLOGIES;info@mediantechnologies.com;04 93 33 37 77
